Mach,CD Power-On
10.93,0.095912398
10.94,0.095896229
10.95,0.095880099
10.96,0.095864007
10.97,0.095847943
10.98,0.095831917
10.99,0.09581593
11,0.095799979
11.01,0.095784057
11.02,0.095768182
11.03,0.095752336
11.04,0.095736527
11.05,0.095720754
11.06,0.095705009
11.07,0.095689303
11.08,0.095673623
11.09,0.095657999
11.1,0.095642383
11.11,0.095626825
11.12,0.095611283
11.13,0.095595786
11.14,0.095580318
11.15,0.095564887
11.16,0.095549481
11.17,0.095534122
11.18,0.095518789
11.19,0.095503493
11.2,0.095488223
11.21,0.095472999
11.22,0.095457801
11.23,0.095442639
11.24,0.095427504
11.25,0.095412403
11.26,0.095397338
11.27,0.095382299
11.28,0.095367308
11.29,0.095352329
11.3,0.095337397
11.31,0.09532249
11.32,0.095307619
11.33,0.095292772
11.34,0.095277971
11.35,0.095263184
11.36,0.095248444
11.37,0.095233728
11.38,0.095219046
11.39,0.09520439
11.4,0.095189778
11.41,0.095175181
11.42,0.095160628
11.43,0.09514609
11.44,0.095131606
11.45,0.095117137
11.46,0.095102702
11.47,0.09508829
11.48,0.095073924
11.49,0.095059581
11.5,0.095045262
11.51,0.095030987
11.52,0.095016726
11.53,0.095002509
11.54,0.094988306
11.55,0.094974155
11.56,0.094960009
11.57,0.094945906
11.58,0.094931837
11.59,0.094917791
11.6,0.094903767
11.61,0.094889788
11.62,0.094875822
11.63,0.094861898
11.64,0.094847988
11.65,0.09483413
11.66,0.094820276
11.67,0.094806474
11.68,0.094792684
11.69,0.094778929
11.7,0.094765207
11.71,0.094751495
11.72,0.094737825
11.73,0.094724181
11.74,0.094710567
11.75,0.094696975
11.76,0.094683426
11.77,0.094669889
11.78,0.094656384
11.79,0.094642902
11.8,0.094629461
11.81,0.094616032
11.82,0.094602645
11.83,0.09458927
11.84,0.094575936
11.85,0.094562614
11.86,0.094549335
11.87,0.094536065
11.88,0.094522839
11.89,0.094509633
11.9,0.094496458
11.91,0.094483295
11.92,0.094470173
11.93,0.094457082
11.94,0.094444004
11.95,0.094430965
11.96,0.094417937
11.97,0.094404952
11.98,0.094391976
11.99,0.094379042
12,0.094366118
12.01,0.094353235
12.02,0.094340362
12.03,0.094327521
12.04,0.09431471
12.05,0.094301919
12.06,0.094289158
12.07,0.094276419
12.08,0.094263708
12.09,0.09425102
12.1,0.09423836
12.11,0.094225721
12.12,0.094213103
12.13,0.094200523
12.14,0.094187964
12.15,0.094175426
12.16,0.094162916
12.17,0.094150418
12.18,0.094137968
12.19,0.094125518
12.2,0.094113109
12.21,0.094100717
12.22,0.094088347
12.23,0.094076005
12.24,0.094063684
12.25,0.094051392
12.26,0.094039118
12.27,0.094026875
12.28,0.09401465
12.29,0.094002454
12.3,0.093990277
12.31,0.09397812
12.32,0.093966002
12.33,0.093953894
12.34,0.093941812
12.35,0.093929752
12.36,0.093917719
12.37,0.093905715
12.38,0.09389372
12.39,0.093881763
12.4,0.093869816
12.41,0.093857896
12.42,0.093845995
12.43,0.093834123
12.44,0.09382227
12.45,0.093810445
12.46,0.093798637
12.47,0.093786848
12.48,0.093775088
12.49,0.093763355
12.5,0.093751632
12.51,0.093739945
12.52,0.093728266
12.53,0.093716616
12.54,0.093704985
12.55,0.09369339
12.56,0.093681794
12.57,0.093670235
12.58,0.093658704
12.59,0.09364718
12.6,0.093635685
12.61,0.093624207
12.62,0.093612757
12.63,0.093601324
12.64,0.093589908
12.65,0.093578521
12.66,0.09356716
12.67,0.093555807
12.68,0.09354448
12.69,0.093533172
12.7,0.09352189
12.71,0.093510626
12.72,0.093499388
12.73,0.093488158
12.74,0.093476964
12.75,0.093465778
12.76,0.093454629
12.77,0.093443486
12.78,0.093432371
12.79,0.093421272
12.8,0.0934102
12.81,0.093399145
12.82,0.093388106
12.83,0.093377094
12.84,0.093366099
12.85,0.093355119
12.86,0.093344168
12.87,0.093333232
12.88,0.093322311
12.89,0.093311428
12.9,0.093300542
12.91,0.093289691
12.92,0.093278857
12.93,0.093268038
12.94,0.093257247
12.95,0.093246471
12.96,0.093235711
12.97,0.093224977
12.98,0.093214249
12.99,0.093203557
13,0.093192872
13.01,0.093182221
13.02,0.093171587
13.03,0.093160959
13.04,0.093150356
13.05,0.093139769
13.06,0.093129208
13.07,0.093118662
13.08,0.093108142
13.09,0.093097628
13.1,0.093087149
13.11,0.093076665
13.12,0.093066218
13.13,0.093055785
13.14,0.093045377
13.15,0.093034976
13.16,0.093024609
13.17,0.093014247
13.18,0.093003901
13.19,0.09299358
13.2,0.092983283
13.21,0.092972993
13.22,0.092962726
13.23,0.092952477
13.24,0.09294225
13.25,0.09293204
13.26,0.092921843
13.27,0.092911672
13.28,0.092901505
13.29,0.092891374
13.3,0.092881247
13.31,0.092871146
13.32,0.092861058
13.33,0.092850985
13.34,0.092840937
13.35,0.092830903
13.36,0.092820885
13.37,0.09281088
13.38,0.0928009
13.39,0.092790935
13.4,0.092780984
13.41,0.092771057
13.42,0.092761144
13.43,0.092751255
13.44,0.092741372
13.45,0.092731512
13.46,0.092721666
13.47,0.092711834
13.48,0.092702028
13.49,0.092692234
13.5,0.092682464
13.51,0.0926727
13.52,0.092662958
13.53,0.092653231
13.54,0.092643529
13.55,0.092633828
13.56,0.092624153
13.57,0.092614491
13.58,0.092604853
13.59,0.092595217
13.6,0.092585618
13.61,0.092576021
13.62,0.092566447
13.63,0.092556877
13.64,0.092547341
13.65,0.092537809
13.66,0.092528299
13.67,0.092518794
13.68,0.092509322
13.69,0.092499864
13.7,0.092490408
13.71,0.092480986
13.72,0.092471556
13.73,0.092462162
13.74,0.09245278
13.75,0.092443411
13.76,0.092434054
13.77,0.092424721
13.78,0.092415403
13.79,0.092406096
13.8,0.092396802
13.81,0.092387531
13.82,0.092378275
13.83,0.092369031
13.84,0.092359799
13.85,0.092350591
13.86,0.092341385
13.87,0.092332212
13.88,0.092323042
13.89,0.092313895
13.9,0.092304761
13.91,0.092295629
13.92,0.09228653
13.93,0.092277433
13.94,0.092268361
13.95,0.092259299
