Mach,CD Power-Off
10.5,0.099332142
10.51,0.099309498
10.52,0.099286921
10.53,0.099264389
10.54,0.099241921
10.55,0.099219498
10.56,0.099197131
10.57,0.099174817
10.58,0.099152568
10.59,0.099130372
10.6,0.099108212
10.61,0.099086114
10.62,0.099064071
10.63,0.099042082
10.64,0.099020135
10.65,0.098998252
10.66,0.098976413
10.67,0.098954636
10.68,0.098932901
10.69,0.098911221
10.7,0.098889593
10.71,0.098868026
10.72,0.098846493
10.73,0.098825023
10.74,0.098803592
10.75,0.098782225
10.76,0.098760889
10.77,0.098739624
10.78,0.098718392
10.79,0.098697232
10.8,0.098676101
10.81,0.098655033
10.82,0.098634016
10.83,0.098613029
10.84,0.098592112
10.85,0.098571227
10.86,0.098550402
10.87,0.098529617
10.88,0.098508892
10.89,0.098488197
10.9,0.098467574
10.91,0.098446978
10.92,0.098426444
10.93,0.098405948
10.94,0.098385503
10.95,0.098365106
10.96,0.098344758
10.97,0.098324449
10.98,0.09830419
10.99,0.09828398
11,0.098263817
11.01,0.098243693
11.02,0.098223628
11.03,0.098203602
11.04,0.098183624
11.05,0.098163693
11.06,0.0981438
11.07,0.098123956
11.08,0.09810415
11.09,0.09808441
11.1,0.098064688
11.11,0.098045034
11.12,0.098025406
11.13,0.098005835
11.14,0.097986303
11.15,0.097966818
11.16,0.097947368
11.17,0.097927975
11.18,0.097908618
11.19,0.09788931
11.2,0.097870036
11.21,0.097850818
11.22,0.097831637
11.23,0.097812503
11.24,0.097793404
11.25,0.09777435
11.26,0.097755342
11.27,0.097736369
11.28,0.097717454
11.29,0.097698562
11.3,0.097679726
11.31,0.097660925
11.32,0.097642169
11.33,0.097623447
11.34,0.097604781
11.35,0.097586138
11.36,0.097567552
11.37,0.097548999
11.38,0.097530491
11.39,0.097512017
11.4,0.097493597
11.41,0.097475201
11.42,0.097456859
11.43,0.097438542
11.44,0.097420287
11.45,0.097402056
11.46,0.09738387
11.47,0.097365716
11.48,0.097347616
11.49,0.097329549
11.5,0.097311514
11.51,0.097293533
11.52,0.097275575
11.53,0.097257671
11.54,0.097239788
11.55,0.097221968
11.56,0.09720416
11.57,0.097186406
11.58,0.097168694
11.59,0.097151013
11.6,0.097133364
11.61,0.097115768
11.62,0.097098195
11.63,0.097080672
11.64,0.097063172
11.65,0.097045733
11.66,0.097028306
11.67,0.09701094
11.68,0.096993594
11.69,0.096976292
11.7,0.096959032
11.71,0.09694179
11.72,0.096924599
11.73,0.096907442
11.74,0.096890324
11.75,0.096873236
11.76,0.096856199
11.77,0.096839184
11.78,0.096822208
11.79,0.096805263
11.8,0.096788368
11.81,0.096771493
11.82,0.096754669
